"id","class_id","interface"
"470","1068","javax/swing/event/ListDataListener"
"471","1070","javax/swing/event/ListDataListener"
"472","1072","javax/swing/SwingConstants"
"473","1073","java/io/Serializable"
"474","1075","java/awt/LayoutManager"
"475","1075","java/awt/event/ActionListener"
"476","1075","java/beans/PropertyChangeListener"
"477","1079","javax/swing/UIDefaults$LazyValue"
"478","1080","javax/swing/UIDefaults$LazyValue"
"479","1081","javax/swing/UIDefaults$LazyValue"
"480","1082","javax/swing/UIDefaults$LazyValue"
"481","1083","javax/swing/UIDefaults$LazyValue"
"482","1084","javax/swing/UIDefaults$LazyValue"
"483","1085","javax/swing/UIDefaults$LazyValue"
"484","1086","javax/swing/UIDefaults$LazyValue"
"485","1087","javax/swing/UIDefaults$LazyValue"
"486","1089","javax/swing/UIDefaults$LazyValue"
"487","1088","javax/swing/UIDefaults$LazyValue"
"488","1090","javax/swing/UIDefaults$LazyValue"
"489","1092","javax/swing/event/ChangeListener"
"490","1094","javax/swing/event/MouseInputListener"
"491","1097","javax/swing/event/MouseInputListener"
"492","1104","javax/swing/event/ChangeListener"
"493","1104","java/io/Serializable"
"494","1105","javax/swing/event/MouseInputListener"
"495","1119","javax/swing/plaf/UIResource"
"496","1122","javax/swing/Icon"
"497","1122","java/io/Serializable"
